S/N,EMPLOYER CODE,OLD EMPLOYER CODE,REGISTRATION,NAME,SECTOR
139,PR0000625448, ,RA625448,ABOWABA FARMS AND INDUSTRIES NIGERIA LIMITED,Agriculture and Agro Allied
140,PR0000645291, ,RA645291,ABRAHAM FARMS & AGRICULTURAL PRODUCE NIG. LTD,Agriculture and Agro Allied
141,PR0000079294, ,1870446,ABRANUEL LIMITED,Agriculture and Agro Allied
142,PR0001250786, ,1250786,ABRARU INTEGRATED FARMS LIMITED,Agriculture and Agro Allied
143,PR0000602523, ,RA602523,ABS FARMS COY LTD,Agriculture and Agro Allied
144,BR0002393864,PRTEMP006556,2393864,ABSA EXCLUSIVE AGRO ALIED VENTURES,Agriculture and Agro Allied
145,PR0000643092, ,RA643092,ABSHIR FARMS LIMITED,Agriculture and Agro Allied
146,PR0000062108, ,RA062108,ABTECH AGRO SERVICES LIMITED,Agriculture and Agro Allied
147,PR0002001196, ,2002136,ABU DOGO FARM,Agriculture and Agro Allied
148,PR0001102442, ,1102442,ABUDAN GLOBAL SERVICES LIMITED,Agriculture and Agro Allied
149,PR0002001076, ,623456,ABUSAHIM INTEGRATED FARMS,Agriculture and Agro Allied
150,PR0002006080, ,15566,ABYMAN AGRIC VENTURES,Agriculture and Agro Allied
151,PR0000003452, ,RA003452,ACADEMY FARM ENTERPRISES LIMITED,Agriculture and Agro Allied
152,PR0001090518, ,1090518,ACE FEEDS LIMITED,Agriculture and Agro Allied
153,PR0000051316, ,RA051316,ACHARAUGO FARMS LIMITED,Agriculture and Agro Allied
154,PR0000016794, ,RA016794,ACHIAGA FARMS CO. (NIG) LTD,Agriculture and Agro Allied
155,PR0000501443, ,501443,ACHIEVERS FARMS LIMITED,Agriculture and Agro Allied
156,PR0000611694, ,RA611694,ACRES FARMS LTD,Agriculture and Agro Allied
157,PR0000077195, ,1658009,ACROSSUN LIMITED,Agriculture and Agro Allied
158,PR0001223375, ,1223375,ACT AGRI BUSINESS LIMITED,Agriculture and Agro Allied
159,PR0000050319, ,RA050319,ADA EZE FARMS LTD,Agriculture and Agro Allied
160,PR0000652865, ,RA652865,ADAD FARMS LIMITED,Agriculture and Agro Allied
161,PR0000604871, ,RA604871,ADADAN OIL LIMITED,Agriculture and Agro Allied
162,PR0000605814, ,RA605814,ADAGRO FARMS LIMITED,Agriculture and Agro Allied
163,PR0002000452, ,2011009,ADAH-MAJA FARMS,Agriculture and Agro Allied
164,PR0000064115, ,RA064115,ADAMAC FARMS LTD,Agriculture and Agro Allied
165,PR0000901600, ,901600,ADAMJOE AGRO AND ALLIED INDUSTRIES LTD,Agriculture and Agro Allied
166,PR0000117725, ,RA117725,ADAMTAN AGRICULTURES & INDUSTRIES LIMITED,Agriculture and Agro Allied
